iter	Passed	Remaining
0	60	60100
1	123	61446
2	176	58748
3	232	57921
4	288	57339
5	343	56867
6	397	56413
7	453	56268
8	511	56329
9	565	55938
10	620	55799
11	670	55205
12	732	55586
13	798	56215
14	853	56033
15	911	56044
16	969	56078
17	1027	56066
18	1083	55940
19	1145	56144
20	1237	57686
21	1332	59216
22	1435	60983
23	1504	61200
24	1578	61578
25	1643	61558
26	1702	61344
27	1756	60961
28	1812	60684
29	1871	60504
30	1928	60283
31	1988	60159
32	2044	59898
33	2102	59731
34	2153	59364
35	2225	59582
36	2302	59917
37	2385	60399
38	2457	60567
39	2520	60489
40	2579	60342
41	2634	60083
42	2690	59877
43	2749	59749
44	2800	59425
45	2850	59121
46	2900	58807
47	2947	58464
48	2994	58112
49	3044	57843
50	3098	57658
51	3146	57355
52	3195	57091
53	3257	57061
54	3324	57121
55	3389	57137
56	3451	57105
57	3517	57121
58	3581	57123
59	3638	57010
60	3695	56888
61	3756	56836
62	3816	56764
63	3867	56559
64	3915	56327
65	3967	56140
66	4027	56079
67	4082	55952
68	4129	55723
69	4181	55558
70	4236	55438
71	4317	55646
72	4389	55740
73	4465	55876
74	4518	55732
75	4577	55653
76	4642	55654
77	4705	55618
78	4761	55511
79	4813	55357
80	4867	55223
81	4918	55066
82	4966	54873
83	5014	54686
84	5064	54521
85	5118	54400
86	5170	54258
87	5210	54001
88	5273	53975
89	5345	54052
90	5428	54226
91	5499	54278
92	5558	54209
93	5610	54071
94	5662	53939
95	5713	53798
96	5769	53709
97	5824	53612
98	5890	53608
99	5949	53541
100	6010	53502
101	6076	53495
102	6136	53442
103	6195	53374
104	6254	53313
105	6336	53443
106	6459	53912
107	6522	53869
108	6583	53817
109	6651	53816
110	6713	53770
111	6769	53670
112	6822	53553
113	6876	53446
114	6939	53407
115	6994	53305
116	7045	53169
117	7097	53053
118	7156	52985
119	7217	52926
120	7280	52887
121	7358	52956
122	7438	53036
123	7502	53000
124	7568	52976
125	7632	52945
126	7689	52855
127	7752	52812
128	7818	52788
129	7882	52749
130	7934	52636
131	8024	52764
132	8079	52669
133	8313	53724
134	8391	53767
135	8466	53785
136	8529	53730
137	8578	53583
138	8633	53477
139	8695	53416
140	8743	53266
141	8798	53162
142	8859	53092
143	8916	53002
144	8971	52902
145	9022	52774
146	9075	52663
147	9123	52522
148	9181	52437
149	9232	52317
150	9282	52193
151	9337	52094
152	9400	52041
153	9477	52064
154	9540	52009
155	9606	51975
156	9667	51908
157	9724	51822
158	9776	51711
159	9828	51601
160	9873	51450
161	9923	51333
162	9981	51253
163	10027	51113
164	10082	51024
165	10133	50911
166	10192	50837
167	10252	50772
168	10314	50716
169	10388	50718
170	10456	50694
171	10529	50688
172	10592	50636
173	10650	50561
174	10703	50459
175	10757	50362
176	10815	50287
177	10873	50214
178	10931	50138
179	10983	50037
180	11031	49916
181	11088	49838
182	11141	49740
183	11189	49623
184	11234	49491
185	11282	49377
186	11336	49288
187	11397	49227
188	11480	49263
189	11553	49253
190	11629	49257
191	11692	49205
192	11758	49164
193	11812	49077
194	11873	49015
195	11937	48967
196	11992	48885
197	12045	48791
198	12104	48720
199	12163	48652
200	12213	48550
201	12265	48455
202	12321	48374
203	12373	48280
204	12438	48238
205	12515	48239
206	12584	48209
207	12643	48144
